22,81
84,133
83,60
88,21
75,64
42,24
91,111
40,30
21,83
15,109
91,22
66,78
78,43
63,195
21,49
23,72
49,121
86,201
83,118
71,51
103,37
28,76
32,126
76,49
34,104
109,150
21,66
76,76
21,77
23,40
94,85
80,150
28,37
65,23
100,40
95,29
23,72
40,84
40,73
60,133
80,83
64,95
18,70
48,49
69,79
53,53
30,87
66,40
102,66
102,71
68,46
66,39
16,35
95,103
24,105
64,56
82,33
19,22
70,50
67,91
113,44
21,90
37,54
42,39
36,49
88,102
83,72
83,106
76,136
66,27
80,92
51,43
12,69
23,99
98,16
33,70
80,110
54,42
39,72
62,39
62,55
15,90
32,73
45,21
111,78
98,92
35,83
74,53
101,107
73,95
21,91
49,42
85,84
25,42
82,138
50,24
36,104
116,29
55,108
75,64
60,101
86,42
54,107
38,68
25,167
95,28
84,101
42,149
22,72
38,93
90,85
30,69
18,88
19,23
60,32
18,24
70,111
26,147
101,81
30,66
79,21
16,92
20,76
63,107
78,75
80,160
71,47
21,75
60,78
30,161
39,125
75,27
73,53
76,69
70,47
71,40
75,28
42,122
94,109
101,85
61,54
94,42
45,56
75,60
80,65
21,70
20,34
20,57
24,89
40,58
165,12
36,50
42,128
18,63
100,76
15,40
58,62
84,63
36,158
38,73
30,95
60,43
33,99
93,71
26,98
74,26
82,112
18,27
77,90
33,41
30,113
34,105
80,76
35,87
79,40
60,25
21,103
38,161
74,61
72,57
66,33
83,32
43,185
92,93
21,89
73,130
79,97
23,90
72,82
67,57
55,65
92,55
120,47
20,34
105,77
81,128
70,45
20,89
90,229
60,144
110,142
24,55
72,29
92,97
83,44
19,30
23,68
124,31
77,112
115,33
35,70
86,53
40,139
94,98
100,91
25,47
93,102
95,46
23,36
44,81
24,37
20,23
38,65
63,110
81,43
20,80
56,84
20,102
20,19
105,72
78,44
103,70
22,59
103,60
83,83
51,95
40,195
17,64
97,83
36,33
77,26
20,95
60,88
23,48
18,98
20,80
60,31
79,89
35,147
101,91
26,57
27,62
27,31
50,24
93,59
19,88
25,51
100,31
26,49
99,78
40,92
96,107
30,47
47,65
27,82
21,78
36,46
30,57
24,63
21,65
82,32
21,12
96,85
49,55
17,56
69,96
108,35
50,81
105,158
80,63
19,25
96,124
110,128
49,139
73,49
23,110
34,26
27,51
63,46
93,94
93,104
94,45
68,45
74,92
37,47
82,83
94,108
98,80
30,146
12,39
38,139
0,26
86,43
98,127
87,50
83,68
69,36
81,101
47,106
30,153
81,131
110,47
30,74
54,117
20,83
9,58
20,37
45,106
25,62
74,58
16,48
79,109
39,58
76,69
52,65
17,86
80,106
75,94
102,155
27,68
90,86
23,39
84,110
34,99
90,112
22,85
19,70
68,35
90,32
75,91
34,31
90,39
35,112
35,51
60,47
72,53
47,26
19,38
103,81
23,53
26,7
69,85
26,28
82,41
74,23
75,66
99,133
25,24
83,59
32,120
42,49
84,65
30,54
40,41
21,119
63,64
23,114
45,111
25,45
23,67
22,55
22,51
90,103
36,48
105,48
30,68
20,12
96,125
91,159
120,50
19,55
94,38
103,29
30,49
30,101
35,31
20,24
80,53
30,66
15,45
26,49
27,45
30,64
20,103
32,35
19,49
19,77
78,79
35,116
39,109
18,42
15,63
21,65
24,49
61,53
30,31
90,78
87,42
17,86
94,130
21,40
81,62
95,112
21,95
81,172
43,160
19,36
69,70
98,75
34,91
25,56
24,131
45,69
40,16
32,30
18,91
96,73
44,106
90,112
24,17
62,80
19,35
96,58
108,81
84,70
26,88
90,31
30,53
22,51
30,53
69,36
42,95
36,53
94,169
47,35
23,77
20,225
20,39
99,71
24,44
74,140
19,75
26,91
16,50
68,90
26,86
73,98
19,123
83,70
51,115
25,78
53,86
125,186
26,138
21,81
43,85
89,66
104,164
102,44
21,118
60,33
23,84
74,76
18,42
35,62
21,40
92,129
79,30
30,75
99,129
23,63
74,54
81,58
30,76
45,103
42,41
30,93
80,91
120,70
83,48
25,73
73,70
76,38
30,39
20,47
91,140
110,59
67,43
48,33
91,60
85,59
26,67
78,29
80,87
83,28
100,86
90,106
92,130
39,198
24,24
